person_name,wiki_link,company
Martín Abadi,https://en.wikipedia.org/wiki/Mart%C3%ADn_Abadi,Google
Anurag Acharya,https://en.wikipedia.org/wiki/Anurag_Acharya,Google
Charlie Ayers,https://en.wikipedia.org/wiki/Charlie_Ayers,Google
Bunmi Banjo,https://en.wikipedia.org/wiki/Bunmi_Banjo,Google
Hans Peter Brondmo,https://en.wikipedia.org/wiki/Hans_Peter_Brondmo,Google
Shona Brown,https://en.wikipedia.org/wiki/Shona_Brown,Google
Jewel Burks Solomon,https://en.wikipedia.org/wiki/Jewel_Burks_Solomon,Google
Chen Qiufan,https://en.wikipedia.org/wiki/Chen_Qiufan,Google
Andrew Conrad,https://en.wikipedia.org/wiki/Andrew_Conrad,Google
Manu Cornet,https://en.wikipedia.org/wiki/Manu_Cornet,Google
Marian Croak,https://en.wikipedia.org/wiki/Marian_Croak,Google
Thomas Dean (computer scientist),https://en.wikipedia.org/wiki/Thomas_Dean_(computer_scientist),Google
Mikey Dickerson,https://en.wikipedia.org/wiki/Mikey_Dickerson,Google
Dmitri Dolgov,https://en.wikipedia.org/wiki/Dmitri_Dolgov,Google
Jennifer Dulski,https://en.wikipedia.org/wiki/Jennifer_Dulski,Google
Juliet Ehimuan,https://en.wikipedia.org/wiki/Juliet_Ehimuan,Google
Héctor García-Molina,https://en.wikipedia.org/wiki/H%C3%A9ctor_Garc%C3%ADa-Molina,Google
Chelsey Glasson,https://en.wikipedia.org/wiki/Chelsey_Glasson,Google
Al Gore,https://en.wikipedia.org/wiki/Al_Gore,Google
Tristan Harris,https://en.wikipedia.org/wiki/Tristan_Harris,Google
Phil Harrison,https://en.wikipedia.org/wiki/Phil_Harrison,Google
Monika Henzinger,https://en.wikipedia.org/wiki/Monika_Henzinger,Google
Tara Hernandez,https://en.wikipedia.org/wiki/Tara_Hernandez,Google
Ian Hickson,https://en.wikipedia.org/wiki/Ian_Hickson,Google
Damon Horowitz,https://en.wikipedia.org/wiki/Damon_Horowitz,Google
Colin Huang,https://en.wikipedia.org/wiki/Colin_Huang,Google
Nigel Huddleston,https://en.wikipedia.org/wiki/Nigel_Huddleston,Google
Khaled Koubaa,https://en.wikipedia.org/wiki/Khaled_Koubaa,Google
Cassie Kozyrkov,https://en.wikipedia.org/wiki/Cassie_Kozyrkov,Google
David Krane,https://en.wikipedia.org/wiki/David_Krane,Google
Diane Lambert,https://en.wikipedia.org/wiki/Diane_Lambert,Google
Quoc Viet Le,https://en.wikipedia.org/wiki/Quoc_Viet_Le,Google
Ronald Loui,https://en.wikipedia.org/wiki/Ronald_Loui,Google
Kevin McCurley (cryptographer),https://en.wikipedia.org/wiki/Kevin_McCurley_(cryptographer),Google
Tomáš Mikolov,https://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Mikolov,Google
Rajeev Motwani,https://en.wikipedia.org/wiki/Rajeev_Motwani,Google
Alan Noble (entrepreneur),https://en.wikipedia.org/wiki/Alan_Noble_(entrepreneur),Google
Jade Raymond,https://en.wikipedia.org/wiki/Jade_Raymond,Google
Jonathan Rosenberg (technologist),https://en.wikipedia.org/wiki/Jonathan_Rosenberg_(technologist),Google
Stefan Schaal,https://en.wikipedia.org/wiki/Stefan_Schaal,Google
Avni Shah,https://en.wikipedia.org/wiki/Avni_Shah,Google
Deena Shakir,https://en.wikipedia.org/wiki/Deena_Shakir,Google
Jason Shellen,https://en.wikipedia.org/wiki/Jason_Shellen,Google
Megan Smith,https://en.wikipedia.org/wiki/Megan_Smith,Google
Richard Sproat,https://en.wikipedia.org/wiki/Richard_Sproat,Google
Claire Stapleton,https://en.wikipedia.org/wiki/Claire_Stapleton,Google
Seth Stephens-Davidowitz,https://en.wikipedia.org/wiki/Seth_Stephens-Davidowitz,Google
Su Hua,https://en.wikipedia.org/wiki/Su_Hua,Google
Tang Xing,https://en.wikipedia.org/wiki/Tang_Xing,Google
Miles Taylor (security expert),https://en.wikipedia.org/wiki/Miles_Taylor_(security_expert),Google
Wietse Venema,https://en.wikipedia.org/wiki/Wietse_Venema,Google
Roy Want,https://en.wikipedia.org/wiki/Roy_Want,Google
Alicia Nicki Washington,https://en.wikipedia.org/wiki/Alicia_Nicki_Washington,Google
Anna Wikland,https://en.wikipedia.org/wiki/Anna_Wikland,Google
Nicole Wong,https://en.wikipedia.org/wiki/Nicole_Wong,Google
Roni Zeiger,https://en.wikipedia.org/wiki/Roni_Zeiger,Google
List of former employees of Goldman Sachs,https://en.wikipedia.org/wiki/List_of_former_employees_of_Goldman_Sachs,Goldman Sachs
Jacob Aarup-Andersen,https://en.wikipedia.org/wiki/Jacob_Aarup-Andersen,Goldman Sachs
Guy Adami,https://en.wikipedia.org/wiki/Guy_Adami,Goldman Sachs
Sergey Aleynikov,https://en.wikipedia.org/wiki/Sergey_Aleynikov,Goldman Sachs
Marco Alverà,https://en.wikipedia.org/wiki/Marco_Alver%C3%A0,Goldman Sachs
Bernard W. Aronson,https://en.wikipedia.org/wiki/Bernard_W._Aronson,Goldman Sachs
Erik Åsbrink,https://en.wikipedia.org/wiki/Erik_%C3%85sbrink,Goldman Sachs
Mehdi Ashraphijuo,https://en.wikipedia.org/wiki/Mehdi_Ashraphijuo,Goldman Sachs
Cliff Asness,https://en.wikipedia.org/wiki/Cliff_Asness,Goldman Sachs
James Attwood,https://en.wikipedia.org/wiki/James_Attwood,Goldman Sachs
Ziad Bahaa-Eldin,https://en.wikipedia.org/wiki/Ziad_Bahaa-Eldin,Goldman Sachs
Steve Bannon,https://en.wikipedia.org/wiki/Steve_Bannon,Goldman Sachs
José Manuel Barroso,https://en.wikipedia.org/wiki/Jos%C3%A9_Manuel_Barroso,Goldman Sachs
Christine Beauchamp,https://en.wikipedia.org/wiki/Christine_Beauchamp,Goldman Sachs
Greg M. Behrman,https://en.wikipedia.org/wiki/Greg_M._Behrman,Goldman Sachs
Alessandro Benetton,https://en.wikipedia.org/wiki/Alessandro_Benetton,Goldman Sachs
Bernd Bergmair,https://en.wikipedia.org/wiki/Bernd_Bergmair,Goldman Sachs
Gina Bianchini,https://en.wikipedia.org/wiki/Gina_Bianchini,Goldman Sachs
Josh Birnbaum,https://en.wikipedia.org/wiki/Josh_Birnbaum,Goldman Sachs
Fischer Black,https://en.wikipedia.org/wiki/Fischer_Black,Goldman Sachs
Joshua Bolten,https://en.wikipedia.org/wiki/Joshua_Bolten,Goldman Sachs
Alexis Bonnet,https://en.wikipedia.org/wiki/Alexis_Bonnet,Goldman Sachs
António Borges,https://en.wikipedia.org/wiki/Ant%C3%B3nio_Borges,Goldman Sachs
Edward Botwinick,https://en.wikipedia.org/wiki/Edward_Botwinick,Goldman Sachs
Diethart Breipohl,https://en.wikipedia.org/wiki/Diethart_Breipohl,Goldman Sachs
Ben Broadbent,https://en.wikipedia.org/wiki/Ben_Broadbent,Goldman Sachs
Eric Brodkowitz,https://en.wikipedia.org/wiki/Eric_Brodkowitz,Goldman Sachs
John H. Bryan,https://en.wikipedia.org/wiki/John_H._Bryan,Goldman Sachs
Willem Buiter,https://en.wikipedia.org/wiki/Willem_Buiter,Goldman Sachs
Erin Burnett,https://en.wikipedia.org/wiki/Erin_Burnett,Goldman Sachs
Mark Carhart,https://en.wikipedia.org/wiki/Mark_Carhart,Goldman Sachs
Mark Carney,https://en.wikipedia.org/wiki/Mark_Carney,Goldman Sachs
Jennifer Carpenter (academic),https://en.wikipedia.org/wiki/Jennifer_Carpenter_(academic),Goldman Sachs
Waddill Catchings,https://en.wikipedia.org/wiki/Waddill_Catchings,Goldman Sachs
R. Martin Chavez,https://en.wikipedia.org/wiki/R._Martin_Chavez,Goldman Sachs
Carl Chien,https://en.wikipedia.org/wiki/Carl_Chien,Goldman Sachs
Efthymios Christodoulou,https://en.wikipedia.org/wiki/Efthymios_Christodoulou,Goldman Sachs
Petros Christodoulou,https://en.wikipedia.org/wiki/Petros_Christodoulou,Goldman Sachs
Jordan Cila,https://en.wikipedia.org/wiki/Jordan_Cila,Goldman Sachs
Abby Joseph Cohen,https://en.wikipedia.org/wiki/Abby_Joseph_Cohen,Goldman Sachs
Michael Cohrs,https://en.wikipedia.org/wiki/Michael_Cohrs,Goldman Sachs
Colin Coleman,https://en.wikipedia.org/wiki/Colin_Coleman,Goldman Sachs
Peter R. Coneway,https://en.wikipedia.org/wiki/Peter_R._Coneway,Goldman Sachs
Karen Cook (banker),https://en.wikipedia.org/wiki/Karen_Cook_(banker),Goldman Sachs
Louise Cooper (financial analyst),https://en.wikipedia.org/wiki/Louise_Cooper_(financial_analyst),Goldman Sachs
Leon Cooperman,https://en.wikipedia.org/wiki/Leon_Cooperman,Goldman Sachs
Carlos Cordeiro,https://en.wikipedia.org/wiki/Carlos_Cordeiro,Goldman Sachs
E. Gerald Corrigan,https://en.wikipedia.org/wiki/E._Gerald_Corrigan,Goldman Sachs
Claudio Costamagna,https://en.wikipedia.org/wiki/Claudio_Costamagna,Goldman Sachs
Jim Cramer,https://en.wikipedia.org/wiki/Jim_Cramer,Goldman Sachs
Charles de Croisset,https://en.wikipedia.org/wiki/Charles_de_Croisset,Goldman Sachs
Heidi Cruz,https://en.wikipedia.org/wiki/Heidi_Cruz,Goldman Sachs
Lex van Dam,https://en.wikipedia.org/wiki/Lex_van_Dam,Goldman Sachs
Nancy Davis (businesswoman),https://en.wikipedia.org/wiki/Nancy_Davis_(businesswoman),Goldman Sachs
Guillermo de la Dehesa,https://en.wikipedia.org/wiki/Guillermo_de_la_Dehesa,Goldman Sachs
Emanuel Derman,https://en.wikipedia.org/wiki/Emanuel_Derman,Goldman Sachs
Adriana Diaz (journalist),https://en.wikipedia.org/wiki/Adriana_Diaz_(journalist),Goldman Sachs
Vladimír Dlouhý (politician),https://en.wikipedia.org/wiki/Vladim%C3%ADr_Dlouh%C3%BD_(politician),Goldman Sachs
Kirill Dmitriev,https://en.wikipedia.org/wiki/Kirill_Dmitriev,Goldman Sachs
Jim Donovan (banker),https://en.wikipedia.org/wiki/Jim_Donovan_(banker),Goldman Sachs
Mario Draghi,https://en.wikipedia.org/wiki/Mario_Draghi,Goldman Sachs
Michael Dubno,https://en.wikipedia.org/wiki/Michael_Dubno,Goldman Sachs
William C. Dudley,https://en.wikipedia.org/wiki/William_C._Dudley,Goldman Sachs
Isabelle Ealet,https://en.wikipedia.org/wiki/Isabelle_Ealet,Goldman Sachs
Fred Ehrsam,https://en.wikipedia.org/wiki/Fred_Ehrsam,Goldman Sachs
Rahm Emanuel,https://en.wikipedia.org/wiki/Rahm_Emanuel,Goldman Sachs
Okechukwu Enelamah,https://en.wikipedia.org/wiki/Okechukwu_Enelamah,Goldman Sachs
J. Michael Evans,https://en.wikipedia.org/wiki/J._Michael_Evans,Goldman Sachs
Jonathan Faiman,https://en.wikipedia.org/wiki/Jonathan_Faiman,Goldman Sachs
Óscar Fanjul,https://en.wikipedia.org/wiki/%C3%93scar_Fanjul,Goldman Sachs
Fang Fenglei,https://en.wikipedia.org/wiki/Fang_Fenglei,Goldman Sachs
Lawton Fitt,https://en.wikipedia.org/wiki/Lawton_Fitt,Goldman Sachs
J. Christopher Flowers,https://en.wikipedia.org/wiki/J._Christopher_Flowers,Goldman Sachs
Randall M. Fort,https://en.wikipedia.org/wiki/Randall_M._Fort,Goldman Sachs
Helena Foulkes,https://en.wikipedia.org/wiki/Helena_Foulkes,Goldman Sachs
Camille Fournier,https://en.wikipedia.org/wiki/Camille_Fournier,Goldman Sachs
Henry H. Fowler,https://en.wikipedia.org/wiki/Henry_H._Fowler,Goldman Sachs
Sarah Friar,https://en.wikipedia.org/wiki/Sarah_Friar,Goldman Sachs
Prince Friso of Orange-Nassau,https://en.wikipedia.org/wiki/Prince_Friso_of_Orange-Nassau,Goldman Sachs
Steven Fulop,https://en.wikipedia.org/wiki/Steven_Fulop,Goldman Sachs
Antonio García Martínez (author),https://en.wikipedia.org/wiki/Antonio_Garc%C3%ADa_Mart%C3%ADnez_(author),Goldman Sachs
Gary Gensler,https://en.wikipedia.org/wiki/Gary_Gensler,Goldman Sachs
Dick Gephardt,https://en.wikipedia.org/wiki/Dick_Gephardt,Goldman Sachs
Mark D. Gilbert,https://en.wikipedia.org/wiki/Mark_D._Gilbert,Goldman Sachs
Jason Gissing,https://en.wikipedia.org/wiki/Jason_Gissing,Goldman Sachs
Alexis Glick,https://en.wikipedia.org/wiki/Alexis_Glick,Goldman Sachs
Richard Gnodde,https://en.wikipedia.org/wiki/Richard_Gnodde,Goldman Sachs
Henry Goldman,https://en.wikipedia.org/wiki/Henry_Goldman,Goldman Sachs
Masha Gordon,https://en.wikipedia.org/wiki/Masha_Gordon,Goldman Sachs
Noam Gottesman,https://en.wikipedia.org/wiki/Noam_Gottesman,Goldman Sachs
Samantha Greenberg,https://en.wikipedia.org/wiki/Samantha_Greenberg,Goldman Sachs
Judd Gregg,https://en.wikipedia.org/wiki/Judd_Gregg,Goldman Sachs
"Brian Griffiths, Baron Griffiths of Fforestfach","https://en.wikipedia.org/wiki/Brian_Griffiths,_Baron_Griffiths_of_Fforestfach",Goldman Sachs
Chris Grigg,https://en.wikipedia.org/wiki/Chris_Grigg,Goldman Sachs
Anthony Gutman,https://en.wikipedia.org/wiki/Anthony_Gutman,Goldman Sachs
Sam Gyimah,https://en.wikipedia.org/wiki/Sam_Gyimah,Goldman Sachs
Charlie Haas,https://en.wikipedia.org/wiki/Charlie_Haas,Goldman Sachs
Victor Halberstadt,https://en.wikipedia.org/wiki/Victor_Halberstadt,Goldman Sachs
Robert Harrison (financier),https://en.wikipedia.org/wiki/Robert_Harrison_(financier),Goldman Sachs
Jan Hatzius,https://en.wikipedia.org/wiki/Jan_Hatzius,Goldman Sachs
Stephen Hawinkels,https://en.wikipedia.org/wiki/Stephen_Hawinkels,Goldman Sachs
Jason Healey,https://en.wikipedia.org/wiki/Jason_Healey,Goldman Sachs
Thomas J. Healey,https://en.wikipedia.org/wiki/Thomas_J._Healey,Goldman Sachs
David B. Heller,https://en.wikipedia.org/wiki/David_B._Heller,Goldman Sachs
Bruce Heyman,https://en.wikipedia.org/wiki/Bruce_Heyman,Goldman Sachs
Bradford Higgins,https://en.wikipedia.org/wiki/Bradford_Higgins,Goldman Sachs
Jim Himes,https://en.wikipedia.org/wiki/Jim_Himes,Goldman Sachs
Jonathan Hirtle,https://en.wikipedia.org/wiki/Jonathan_Hirtle,Goldman Sachs
Robert Hormats,https://en.wikipedia.org/wiki/Robert_Hormats,Goldman Sachs
Chi-fu Huang,https://en.wikipedia.org/wiki/Chi-fu_Huang,Goldman Sachs
Kazuo Inamori,https://en.wikipedia.org/wiki/Kazuo_Inamori,Goldman Sachs
Otmar Issing,https://en.wikipedia.org/wiki/Otmar_Issing,Goldman Sachs
Reuben Jeffery III,https://en.wikipedia.org/wiki/Reuben_Jeffery_III,Goldman Sachs
Suzanne Nora Johnson,https://en.wikipedia.org/wiki/Suzanne_Nora_Johnson,Goldman Sachs
Lois Juliber,https://en.wikipedia.org/wiki/Lois_Juliber,Goldman Sachs
David Kabiller,https://en.wikipedia.org/wiki/David_Kabiller,Goldman Sachs
Robert Steven Kaplan,https://en.wikipedia.org/wiki/Robert_Steven_Kaplan,Goldman Sachs
Piotr Karasinski,https://en.wikipedia.org/wiki/Piotr_Karasinski,Goldman Sachs
Neel Kashkari,https://en.wikipedia.org/wiki/Neel_Kashkari,Goldman Sachs
Paul Kazarian,https://en.wikipedia.org/wiki/Paul_Kazarian,Goldman Sachs
Prashant Khemka,https://en.wikipedia.org/wiki/Prashant_Khemka,Goldman Sachs
Susan Kilsby,https://en.wikipedia.org/wiki/Susan_Kilsby,Goldman Sachs
Ewan Kirk,https://en.wikipedia.org/wiki/Ewan_Kirk,Goldman Sachs
Mary Kissel,https://en.wikipedia.org/wiki/Mary_Kissel,Goldman Sachs
Sagiri Kitao,https://en.wikipedia.org/wiki/Sagiri_Kitao,Goldman Sachs
Peter S. Kraus,https://en.wikipedia.org/wiki/Peter_S._Kraus,Goldman Sachs
Joshua Kushner,https://en.wikipedia.org/wiki/Joshua_Kushner,Goldman Sachs
Eddie Lampert,https://en.wikipedia.org/wiki/Eddie_Lampert,Goldman Sachs
Andrew Law (financier),https://en.wikipedia.org/wiki/Andrew_Law_(financier),Goldman Sachs
Lyndon Lea,https://en.wikipedia.org/wiki/Lyndon_Lea,Goldman Sachs
Stephen D. Lebovitz,https://en.wikipedia.org/wiki/Stephen_D._Lebovitz,Goldman Sachs
Tim Leissner,https://en.wikipedia.org/wiki/Tim_Leissner,Goldman Sachs
Hugues Lepic,https://en.wikipedia.org/wiki/Hugues_Lepic,Goldman Sachs
Gianni Letta,https://en.wikipedia.org/wiki/Gianni_Letta,Goldman Sachs
Neil David Levin,https://en.wikipedia.org/wiki/Neil_David_Levin,Goldman Sachs
Matt Levine (columnist),https://en.wikipedia.org/wiki/Matt_Levine_(columnist),Goldman Sachs
Arthur Levitt,https://en.wikipedia.org/wiki/Arthur_Levitt,Goldman Sachs
Gus Levy,https://en.wikipedia.org/wiki/Gus_Levy,Goldman Sachs
Ed Liddy,https://en.wikipedia.org/wiki/Ed_Liddy,Goldman Sachs
Robert Litterman,https://en.wikipedia.org/wiki/Robert_Litterman,Goldman Sachs
Robert Litzenberger,https://en.wikipedia.org/wiki/Robert_Litzenberger,Goldman Sachs
Amber Liu (tennis),https://en.wikipedia.org/wiki/Amber_Liu_(tennis),Goldman Sachs
Liu Qing (businesswoman),https://en.wikipedia.org/wiki/Liu_Qing_(businesswoman),Goldman Sachs
Klaus Luft,https://en.wikipedia.org/wiki/Klaus_Luft,Goldman Sachs
Ian Macfarlane (economist),https://en.wikipedia.org/wiki/Ian_Macfarlane_(economist),Goldman Sachs
Hugo MacNeill (rugby union),https://en.wikipedia.org/wiki/Hugo_MacNeill_(rugby_union),Goldman Sachs
Clifton Maloney,https://en.wikipedia.org/wiki/Clifton_Maloney,Goldman Sachs
Stephen Mandel (hedge fund manager),https://en.wikipedia.org/wiki/Stephen_Mandel_(hedge_fund_manager),Goldman Sachs
James S. Marcus,https://en.wikipedia.org/wiki/James_S._Marcus,Goldman Sachs
Brit Marling,https://en.wikipedia.org/wiki/Brit_Marling,Goldman Sachs
Kathy Matsui,https://en.wikipedia.org/wiki/Kathy_Matsui,Goldman Sachs
Tito Mboweni,https://en.wikipedia.org/wiki/Tito_Mboweni,Goldman Sachs
Evan McMullin,https://en.wikipedia.org/wiki/Evan_McMullin,Goldman Sachs
Scott Mead,https://en.wikipedia.org/wiki/Scott_Mead,Goldman Sachs
Richard Menschel,https://en.wikipedia.org/wiki/Richard_Menschel,Goldman Sachs
Robert Menschel,https://en.wikipedia.org/wiki/Robert_Menschel,Goldman Sachs
Marc Mezvinsky,https://en.wikipedia.org/wiki/Marc_Mezvinsky,Goldman Sachs
Andrea Miller (publisher),https://en.wikipedia.org/wiki/Andrea_Miller_(publisher),Goldman Sachs
Megha Mittal,https://en.wikipedia.org/wiki/Megha_Mittal,Goldman Sachs
Robert Mnuchin,https://en.wikipedia.org/wiki/Robert_Mnuchin,Goldman Sachs
Steven Mnuchin,https://en.wikipedia.org/wiki/Steven_Mnuchin,Goldman Sachs
Carlos Moedas,https://en.wikipedia.org/wiki/Carlos_Moedas,Goldman Sachs
Mario Monti,https://en.wikipedia.org/wiki/Mario_Monti,Goldman Sachs
Shea Morenz,https://en.wikipedia.org/wiki/Shea_Morenz,Goldman Sachs
R. Scott Morris,https://en.wikipedia.org/wiki/R._Scott_Morris,Goldman Sachs
"Dambisa Moyo, Baroness Moyo","https://en.wikipedia.org/wiki/Dambisa_Moyo,_Baroness_Moyo",Goldman Sachs
Phil Murphy,https://en.wikipedia.org/wiki/Phil_Murphy,Goldman Sachs
Tammy Murphy,https://en.wikipedia.org/wiki/Tammy_Murphy,Goldman Sachs
Ben Navarro,https://en.wikipedia.org/wiki/Ben_Navarro,Goldman Sachs
Duncan L. Niederauer,https://en.wikipedia.org/wiki/Duncan_L._Niederauer,Goldman Sachs
Michael Novogratz,https://en.wikipedia.org/wiki/Michael_Novogratz,Goldman Sachs
Daniel Och,https://en.wikipedia.org/wiki/Daniel_Och,Goldman Sachs
"Jim O'Neill, Baron O'Neill of Gatley","https://en.wikipedia.org/wiki/Jim_O%27Neill,_Baron_O%27Neill_of_Gatley",Goldman Sachs
Richard Ong,https://en.wikipedia.org/wiki/Richard_Ong,Goldman Sachs
Peter C. Oppenheimer,https://en.wikipedia.org/wiki/Peter_C._Oppenheimer,Goldman Sachs
Ilario Pantano,https://en.wikipedia.org/wiki/Ilario_Pantano,Goldman Sachs
